"","NSub","curDur","exp","group","model","mu_r","sig_r","log_lik","W_P_G","W_L","W_Ds","part"
"16683",7,2.37,"Exp1","mixed","IP",2.30623465260256,0.242746508158034,-0.006133538176538,0,0.236410562533104,0.763589437466896,"all"
"16684",7,2.38,"Exp1","mixed","IP",2.31346152173037,0.243495020105966,-0.00189986480692674,0,0.237881685517487,0.762118314482513,"all"
"16685",7,2.39,"Exp1","mixed","IP",2.32065904428642,0.244241519334345,-0.00416966410091874,0,0.239352632643037,0.760647367356963,"all"
"16686",7,2.4,"Exp1","mixed","IP",2.32782723600679,0.244986006287262,-0.0124968634791734,0,0.240823368410428,0.759176631589572,"all"
"16687",8,0.4,"Exp1","mixed","IP",0.572930351624773,0.0862694752435135,1.03144104373861,0,0.292421321085444,0.707578678914556,"all"
"16688",8,0.41,"Exp1","mixed","IP",0.585989629310954,0.0874552301245537,1.01677997970632,0,0.302712583766946,0.697287416233054,"all"
"16689",8,0.42,"Exp1","mixed","IP",0.59881229559173,0.0886192992572802,1.00748146555708,0,0.312949920848961,0.687050079151039,"all"
"16690",8,0.43,"Exp1","mixed","IP",0.611395290380237,0.0897615903677856,0.991224011382317,0,0.323125001029598,0.676874998970402,"all"
"16691",8,0.44,"Exp1","mixed","IP",0.623736225740363,0.0908820672379561,0.976834265613306,0,0.333230107747887,0.666769892252113,"all"
"16692",8,0.45,"Exp1","mixed","IP",0.635833345015457,0.0919807442019607,0.96623235103578,0,0.343258120447921,0.656741879552079,"all"
"16693",8,0.46,"Exp1","mixed","IP",0.647685482365886,0.0930576810713775,0.954771931529502,0,0.353202494497722,0.646797505502278,"all"
"16694",8,0.47,"Exp1","mixed","IP",0.65929202295358,0.0941129784573959,0.946715955414372,0,0.363057240039014,0.636942759960986,"all"
"16695",8,0.48,"Exp1","mixed","IP",0.670652863978092,0.0951467734611123,0.935599570635325,0,0.372816900021565,0.627183099978435,"all"
"16696",8,0.49,"Exp1","mixed","IP",0.681768376737183,0.0961592357052509,0.919914149835221,0,0.382476527653389,0.617523472346611,"all"
"16697",8,0.5,"Exp1","mixed","IP",0.692639369855604,0.0971505636827131,0.905714334733188,0,0.392031663475917,0.607968336524083,"all"
"16698",8,0.51,"Exp1","mixed","IP",0.703267053798609,0.0981209813992299,0.900697844105175,0,0.401478312251797,0.598521687748203,"all"
"16699",8,0.52,"Exp1","mixed","IP",0.713653006762049,0.0990707352890719,0.900819826173599,0,0.410812919832209,0.589187080167791,"all"
"16700",8,0.53,"Exp1","mixed","IP",0.723799142008347,0.100000091384298,0.890822795282507,0,0.420032350150899,0.579967649849101,"all"
"16701",8,0.54,"Exp1","mixed","IP",0.733707676697536,0.100909332719407,0.875553257078849,0,0.429133862473396,0.570866137526604,"all"
"16702",8,0.55,"Exp1","mixed","IP",0.743381102244488,0.101798756954518,0.86369410380503,0,0.438115089012442,0.561884910987558,"all"
"16703",8,0.56,"Exp1","mixed","IP",0.752822156217594,0.102668674201365,0.855357837774805,0,0.446974013004341,0.553025986995659,"all"
"16704",8,0.57,"Exp1","mixed","IP",0.76203379578022,0.103519405037449,0.849857741134354,0,0.455708947325904,0.544291052674096,"all"
"16705",8,0.58,"Exp1","mixed","IP",0.771019172664227,0.104351278694683,0.841683826135962,0,0.464318513717867,0.535681486282133,"all"
