"","NSub","targetDur","RP","Exp","group","model","W_P_G","mu_r","sig_r","predY","W_PL","sig2_DL","log_lik","W_L","W_Ds","W_P_S","W_P_L","part"
"2805",5,0.663061306494331,0.493904969536743,"Exp2","mixed","IP",0,0.603509781879106,0.0613793580127972,0.603159153523206,0.717918154960787,0,1.37245871282551,0.717918154960787,0.282081845039213,0.717918154960787,0.717918154960787,"part1"
"2806",5,1.60005476290647,1.46988020115714,"Exp2","mixed","IP",0,1.57069885705554,0.2118234521761,1.56925842466236,0.146786051523634,0,0.128112396633092,0.146786051523634,0.853213948476366,0.146786051523634,0.146786051523634,"part1"
"2807",5,1.76834346805288,1.58991136378427,"Exp2","mixed","IP",0,1.70460198391809,0.229892737292915,1.70433825380758,0.172430353564156,0,0.0540105026487812,0.172430353564156,0.827569646435845,0.172430353564156,0.172430353564156,"part1"
"2808",5,0.542862864224572,0.573990433507788,"Exp2","mixed","IP",0,0.566424674610475,0.0587823670382553,0.566381737483042,0.631919633865332,0,1.41610617855599,0.631919633865332,0.368080366134668,0.631919633865332,0.631919633865332,"part1"
"2809",5,1.31,1.28592273409959,"Exp2","mixed","IP",0,1.3196686119515,0.178895348377244,1.32102369401898,0.10469584406112,0,0.305172666754855,0.10469584406112,0.89530415593888,0.10469584406112,0.10469584406112,"part1"
"2810",5,0.7328,0.597914125502939,"Exp2","mixed","IP",0,0.617340298178256,0.0625015764721758,0.617645319687915,0.756091807821078,0,1.35354532818186,0.756091807821078,0.243908192178922,0.756091807821078,0.756091807821078,"part1"
"2811",5,1.954332247557,2.03796183355553,"Exp2","mixed","IP",0,1.84215171463404,0.248941602121391,1.84075112653792,0.201325728075394,0,-0.0315365176237824,0.201325728075394,0.798674271924606,0.201325728075394,0.201325728075394,"part1"
"2812",5,0.663061306494331,0.645933183845045,"Exp2","mixed","IP",0,0.603509781879106,0.0613793580127972,0.603669546130427,0.717918154960787,0,1.37318356724895,0.717918154960787,0.282081845039213,0.717918154960787,0.717918154960787,"part1"
"2813",5,0.4912,0.453937189578937,"Exp2","mixed","IP",0,0.543259584711249,0.0573263119229342,0.543203356158965,0.585139664417926,0,1.44187880898038,0.585139664417926,0.414860335582074,0.585139664417926,0.585139664417926,"part1"
"2814",5,0.663061306494331,0.525931255617252,"Exp2","mixed","IP",0,0.603509781879106,0.0613793580127972,0.603343512727271,0.717918154960787,0,1.37860079974523,0.717918154960787,0.282081845039213,0.717918154960787,0.717918154960787,"part1"
"2815",5,0.663061306494331,0.597928431698165,"Exp2","mixed","IP",0,0.603509781879106,0.0613793580127972,0.603861207311193,0.717918154960787,0,1.37599440522315,0.717918154960787,0.282081845039213,0.717918154960787,0.717918154960787,"part1"
