"","curDur","wp","mu_r","sig_r","predY","NSub","exp","model","group","ver"
"6737",2.39,0.405368257736072,1.99813471667212,0.242330336598204,1.99915336277845,2,"Exp1","baseline","long","log"
"6738",2.4,0.405368257736072,2.00310702866884,0.24290308883053,2.00522513422107,2,"Exp1","baseline","long","log"
"6739",1.2,0.651772686100273,1.33027920167132,0.216786291172995,1.33071770316856,3,"Exp1","baseline","long","log"
"6740",1.21,0.651772686100273,1.33412026270682,0.217386381869948,1.33563954174295,3,"Exp1","baseline","long","log"
"6741",1.22,0.651772686100273,1.33794087390765,0.217983354700506,1.33718611229218,3,"Exp1","baseline","long","log"
"6742",1.23,0.651772686100273,1.34174131103536,0.218577250920234,1.34230090051919,3,"Exp1","baseline","long","log"
"6743",1.24,0.651772686100273,1.3455218439239,0.219168110912106,1.34484086162643,3,"Exp1","baseline","long","log"
"6744",1.25,0.651772686100273,1.34928273665369,0.219755974211774,1.34965755437042,3,"Exp1","baseline","long","log"
"6745",1.26,0.651772686100273,1.35302424771935,0.220340879531905,1.35480624006959,3,"Exp1","baseline","long","log"
"6746",1.27,0.651772686100273,1.35674663019109,0.220922864785638,1.35745087191075,3,"Exp1","baseline","long","log"
"6747",1.28,0.651772686100273,1.36045013187032,0.221501967109195,1.36040453469782,3,"Exp1","baseline","long","log"
"6748",1.29,0.651772686100273,1.3641349954396,0.222078222883675,1.36398934531337,3,"Exp1","baseline","long","log"
"6749",1.3,0.651772686100273,1.36780145860714,0.222651667756085,1.3674981616943,3,"Exp1","baseline","long","log"
"6750",1.31,0.651772686100273,1.37144975424623,0.223222336659621,1.37193034478215,3,"Exp1","baseline","long","log"
"6751",1.32,0.651772686100273,1.37508011052963,0.223790263833244,1.37702614292494,3,"Exp1","baseline","long","log"
"6752",1.33,0.651772686100273,1.37869275105932,0.224355482840575,1.37906938705518,3,"Exp1","baseline","long","log"
"6753",1.34,0.651772686100273,1.38228789499168,0.224918026588139,1.38206401925799,3,"Exp1","baseline","long","log"
"6754",1.35,0.651772686100273,1.38586575715833,0.225477927342986,1.38587142550432,3,"Exp1","baseline","long","log"
"6755",1.36,0.651772686100273,1.38942654818285,0.226035216749709,1.39009677334474,3,"Exp1","baseline","long","log"
"6756",1.37,0.651772686100273,1.39297047459349,0.226589925846897,1.39173986269879,3,"Exp1","baseline","long","log"
"6757",1.38,0.651772686100273,1.39649773893206,0.22714208508303,1.39850573263616,3,"Exp1","baseline","long","log"
"6758",1.39,0.651772686100273,1.40000853985917,0.227691724331849,1.40141376149864,3,"Exp1","baseline","long","log"
"6759",1.4,0.651772686100273,1.40350307225595,0.228238872907218,1.4033652692737,3,"Exp1","baseline","long","log"
"6760",1.41,0.651772686100273,1.4069815273224,0.228783559577499,1.4064864806292,3,"Exp1","baseline","long","log"
"6761",1.42,0.651772686100273,1.41044409267249,0.229325812579463,1.40913241086556,3,"Exp1","baseline","long","log"
"6762",1.43,0.651772686100273,1.41389095242618,0.229865659631747,1.41467774740787,3,"Exp1","baseline","long","log"
"6763",1.44,0.651772686100273,1.41732228729845,0.230403127947882,1.41779516649003,3,"Exp1","baseline","long","log"
"6764",1.45,0.651772686100273,1.42073827468539,0.230938244248905,1.42026557684434,3,"Exp1","baseline","long","log"
"6765",1.46,0.651772686100273,1.42413908874764,0.231471034775572,1.42337792659394,3,"Exp1","baseline","long","log"
"6766",1.47,0.651772686100273,1.42752490049113,0.232001525300192,1.42677598251763,3,"Exp1","baseline","long","log"
"6767",1.48,0.651772686100273,1.43089587784522,0.23252974113808,1.43021620341422,3,"Exp1","baseline","long","log"
"6768",1.49,0.651772686100273,1.4342521857385,0.233055707158671,1.43581176185185,3,"Exp1","baseline","long","log"
"6769",1.5,0.651772686100273,1.43759398617211,0.233579447796277,1.4373924031006,3,"Exp1","baseline","long","log"
"6770",1.51,0.651772686100273,1.44092143829088,0.234100987060525,1.43983624281191,3,"Exp1","baseline","long","log"
"6771",1.52,0.651772686100273,1.44423469845224,0.234620348546473,1.44297264021195,3,"Exp1","baseline","long","log"
